Run_id,Seed,Size,Diversity,Avg_Diversity_per_bin,Empty_bin_ratio,Low_count_bin_ratio,Avg_number_diff_units,Avg_edit_distance,Quality
bin_filler_3_trial485,4,0.9984,0.9997,0.9461,0.0,1.0,5.0757,7.3411,0.9886577330616373
bin_filler_2_trial478,4,0.9994,0.9996,0.9406,0.0,1.0,4.2127,6.2033,0.9878391872572605
bin_filler_5_trial499,4,0.9994,0.9997,0.9401,0.0,1.0,4.8915,7.6628,0.9877666816856694
bin_filler_5_trial499,3,0.9954,0.9997,0.939,0.0,1.0,4.9377,8.3448,0.986324669831127
bin_filler_1_trial432,4,0.9986,0.9997,0.9253,0.0,1.0,4.1246,7.2672,0.9845360025894754
increase_archive_diversity_5_trial496,2,0.999,0.9654,0.9431,0.0,1.0,4.188,6.4819,0.9779228709605166
bin_filler_1_trial432,0,0.973,0.993,0.9617,0.025,0.975,3.6789,5.9009,0.9771274794637406
bin_filler_1_trial432,2,0.9752,0.9929,0.9571,0.025,0.975,4.3107,8.0812,0.9768311668900926
bin_filler_4_trial492,0,0.98,0.9934,0.9411,0.0,0.975,4.3667,9.5845,0.9752563062532
bin_filler_5_trial499,1,0.975,0.9929,0.9479,0.025,0.975,4.4055,6.9629,0.9749371072876951
bin_filler_2_trial478,2,0.9694,0.9927,0.9399,0.025,0.975,4.6088,7.0495,0.9716136849126469
bin_filler_3_trial485,2,0.9716,0.9928,0.9341,0.025,0.975,4.6799,7.6958,0.9711308665127911
bin_filler_4_trial492,4,0.969,0.9929,0.9359,0.025,0.975,4.9525,9.5503,0.9707448915291079
bin_filler_1_trial432,3,0.9724,0.9929,0.9305,0.025,0.975,4.4912,7.0181,0.9706821097036848
bin_filler_3_trial485,1,0.964,0.9928,0.9413,0.025,0.975,4.4041,6.5658,0.9703133715570238
increase_archive_diversity_3_trial492,2,1.0,0.9508,0.9494,0.025,0.975,4.0959,5.4598,0.970125319302326
bin_filler_2_trial478,0,0.9634,0.9924,0.9398,0.025,0.975,4.8186,6.4793,0.9697105987384995
