Run_id,Seed,Seq_id,Generation,Execution_time,Archive_quality,Archive_size,Archive_diversity,Archive_avg_diversity_per_bin,Archive_empty_bin_ratio,Archive_low_count_bin_ratio,Archive_avg_number_diff_units,Archive_avg_edit_distance
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,0,0.0017,0.2893,79,0.6617,0.3555,0.575,0.925,3.8987,11.6962
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,1,20.0328,0.4048,1733,0.4576,0.5676,0.4,0.75,3.1448,9.1835
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,2,40.5849,0.4877,2287,0.5147,0.6052,0.375,0.625,3.3052,9.7228
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,3,60.582,0.5207,2582,0.5535,0.6237,0.325,0.625,3.3753,9.9555
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,4,81.123,0.5496,2739,0.578,0.6344,0.3,0.575,3.4137,10.0635
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,5,101.8496,0.5692,2919,0.5991,0.6219,0.275,0.55,3.4519,10.1994
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,6,122.6504,0.5882,3065,0.6131,0.6268,0.275,0.525,3.4832,10.3122
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,7,143.5324,0.6036,3223,0.6254,0.6379,0.275,0.525,3.5244,10.4505
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,8,163.8215,0.6152,3317,0.6347,0.6537,0.275,0.525,3.5439,10.5149
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,9,184.9194,0.6202,3394,0.646,0.639,0.25,0.525,3.5633,10.5819
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,10,205.6805,0.6331,3460,0.6544,0.6461,0.25,0.5,3.5772,10.6338
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,11,226.6318,0.6407,3542,0.6625,0.6473,0.25,0.5,3.5918,10.6877
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,12,246.8277,0.6559,3626,0.6714,0.6848,0.25,0.5,3.6056,10.7419
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,13,267.9509,0.661,3685,0.676,0.6854,0.25,0.5,3.6144,10.7767
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,14,288.855,0.6727,3750,0.6812,0.692,0.25,0.475,3.6251,10.8083
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,15,309.8709,0.682,3826,0.6875,0.706,0.25,0.475,3.6414,10.8591
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,16,331.1447,0.6805,3875,0.6936,0.6746,0.2,0.475,3.6449,10.8717
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,17,351.5188,0.6912,3933,0.6988,0.6777,0.2,0.45,3.6565,10.9102
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,18,372.7049,0.6964,3990,0.7035,0.6798,0.2,0.45,3.6657,10.9414
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,19,393.8775,0.7031,4043,0.7079,0.6906,0.2,0.45,3.6725,10.976
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,20,414.8913,0.7102,4092,0.7125,0.7044,0.2,0.45,3.6782,11.001
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,21,435.3829,0.7164,4139,0.7168,0.7152,0.2,0.45,3.6837,11.0268
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,22,456.5329,0.7211,4194,0.7205,0.7167,0.2,0.45,3.6936,11.0672
chr5_179617699_179618423_ENST00000393432,1,chr5:179617699-179618423(-)_ENST00000393432,23,477.599,0.7259,4249,0.7241,0.7188,0.2,0.45,3.7002,11.1038
