target_coordinates	gene_name	gene_id	event_type	dPSI
chr21:25997360-25997416	APP	ENSG00000142192	ES	-0.225
chr19:57475660-57475786	ZNF772	ENSG00000197128	ES	-0.507
chr19:19034131-19034238	ARMC6	ENSG00000105676	ES	-0.46
chr19:18122107-18122127	MAST3	ENSG00000099308	ES	0.351
chr19:805513-805569	PTBP1	ENSG00000011304	ES	-0.335
chr19:44927610-44927930	APOC1P1	ENSG00000291128	ES	-0.463
chr18:58710921-58710953	MALT1	ENSG00000172175	ES	-0.635
chr17:62035463-62035608	MED13	ENSG00000108510	ES	0.316
chr16:72522553-72522623	LINC01572	ENSG00000261008	ES	-0.52
chr16:30001212-30001530	INO80E	ENSG00000169592	ES	-0.214
chr16:30001212-30004657	INO80E	ENSG00000169592	ES	-0.282
chr16:30001414-30001530	INO80E	ENSG00000169592	ES	-0.215
chr16:28836449-28836485	ATXN2L	ENSG00000168488	ES	0.313
chr15:69194436-69194525	GLCE	ENSG00000138604	ES	0.382
chr15:49589776-49590007	FAM227B	ENSG00000166262	ES	0.646
chr14:103498502-103498528	MARK3	ENSG00000075413	ES	-0.794
chr14:102208603-102209862	WDR20	ENSG00000140153	ES	-0.429
chr6:43306067-43306124	CRIP3	ENSG00000146215	ES	0.678
chr5:140641870-140642053	TMCO6	ENSG00000113119	ES	-0.472
chr5:69562673-69562770	GTF2H2C	ENSG00000183474	ES	0.47
chr4:82830937-82830975	SEC31A	ENSG00000138674	ES	-0.282
chr22:50457034-50457111	SBF1	ENSG00000100241	ES	-0.253
chr4:182915881-182915888	DCTD	ENSG00000129187	ES	0.237
chr17:29085604-29085648	MYO18A	ENSG00000196535	ES	-0.593
chr5:141588224-141588250	DIAPH1	ENSG00000131504	ES	-0.82
chr13:51958311-51958400	ATP7B	ENSG00000123191	ES	-0.256
chr3:168040786-168040869	GOLIM4	ENSG00000173905	ES	-0.705
chr3:139573598-139573680	NMNAT3	ENSG00000163864	ES	-0.33
chr6:63532337-63532530	PTP4A1	ENSG00000112245	ES	-0.444
chr4:40935077-40935139	APBB2	ENSG00000163697	ES	-0.435
chr15:84886672-84886787	SLC28A1	ENSG00000156222	ES	0.383
chr3:57865242-57865292	SLMAP	ENSG00000163681	ES	-0.244
chr10:27061144-27061242	ANKRD26	ENSG00000107890	ES	-0.698
chr3:48711367-48711459	IP6K2	ENSG00000068745	ES	0.206
chr7:107573704-107573821	DUS4L	ENSG00000105865	ES	0.697
chr5:180286975-180287067	MAPK9	ENSG00000050748	ES	-0.654
chr3:129857250-129857405	TMCC1	ENSG00000172765	ES	0.434
chr1:92663420-92663452	EVI5	ENSG00000067208	ES	-0.585
chr14:75033419-75033490	MLH3	ENSG00000119684	ES	-0.836
chr2:240573775-240573891	RNPEPL1	ENSG00000142327	ES	0.556
chr1:162592732-162592782	UAP1	ENSG00000117143	ES	-0.337
chr4:20712788-20712922	PACRGL	ENSG00000163138	ES	-0.375
chr1:161160366-161160506	USP21	ENSG00000143258	ES	-0.321
chr20:36209488-36209898	EPB41L1	ENSG00000088367	ES	-0.331
chr5:95919424-95919545	ELL2	ENSG00000118985	ES	0.29
chr22:31688156-31688227	PRR14L	ENSG00000183530	ES	0.269
chr1:973186-973326	PLEKHN1	ENSG00000187583	ES	-0.327
chr4:15979395-15979463	PROM1	ENSG00000007062	ES	-0.739
chr17:17180607-17180669	MPRIP	ENSG00000133030	ES	-0.553
chr19:17210333-17210380	MYO9B	ENSG00000099331	ES	-0.609
chr3:160391546-160391643	IFT80	ENSG00000068885	ES	0.319
chr2:111239802-111239996	MIR4435-2HG	ENSG00000172965	ES	0.26
chr1:2389925-2389996	MORN1	ENSG00000116151	ES	-0.395
chr1:29060422-29060484	EPB41	ENSG00000159023	ES	-0.588
chr13:75809154-75809183	LMO7	ENSG00000136153	ES	-0.641
chr11:90159239-90159337	NAALAD2	ENSG00000077616	ES	-0.321
chr5:56911169-56911536	SETD9	ENSG00000155542	ES	-0.382
chr4:159243774-159243791	RAPGEF2	ENSG00000109756	ES	0.462
chr1:225504991-225505053	ENAH	ENSG00000154380	ES	-0.466
chr13:50083142-50083194	DLEU1	ENSG00000176124	ES	-0.724
chr1:6820181-6820250	CAMTA1	ENSG00000171735	ES	0.23
chr1:172577539-172577559	SUCO	ENSG00000094975	ES	0.383
chr8:22036358-22036526	NPM2	ENSG00000158806	ES	-0.374
chr10:119105311-119105495	DENND10	ENSG00000119979	ES	0.359
chr2:226839409-226839627	RHBDD1	ENSG00000144468	ES	0.684
chr4:119497811-119497903	ENSG00000291203	ENSG00000291203	ES	0.359
chr6:17789872-17789910	KIF13A	ENSG00000137177	ES	-0.363
chr11:59109540-59109706	FAM111B	ENSG00000189057	ES	0.565
chr3:142054115-142054149	TFDP2	ENSG00000114126	ES	0.285
chr11:12675409-12675561	TEAD1	ENSG00000187079	ES	-0.423
chr3:65448022-65448057	MAGI1	ENSG00000151276	ES	-0.241
chr5:74637565-74637701	ENC1	ENSG00000171617	ES	-0.417
chr7:101318956-101319063	IFT22	ENSG00000128581	ES	0.465
chr3:12902773-12902822	IQSEC1	ENSG00000144711	ES	-0.289
chr6:130870328-130870381	EPB41L2	ENSG00000079819	ES	0.742
chr6:130876674-130876775	EPB41L2	ENSG00000079819	ES	0.712
chr10:26755655-26755741	ABI1	ENSG00000136754	ES	-0.535
chr2:17771196-17771287	GEN1	ENSG00000178295	ES	0.33
chr2:70053731-70053792	PCBP1-AS1	ENSG00000179818	ES	-0.337
chr2:151971545-151971704	ENSG00000283228	ENSG00000283228	ES	-0.564
chr3:15415498-15415583	METTL6	ENSG00000206562	ES	0.654
chr2:130161186-130161272	SMPD4	ENSG00000136699	ES	-0.24
chr2:178599594-178599750	TTN-AS1	ENSG00000237298	ES	-0.531
chr17:333759-333934	RPH3AL	ENSG00000181031	ES	-0.502
chr12:130795995-130796120	STX2	ENSG00000111450	ES	0.245
chr1:51756320-51756358	OSBPL9	ENSG00000117859	ES	-0.235
chr4:109481677-109481781	SEC24B	ENSG00000138802	ES	-0.275
chr2:100988079-100988276	NPAS2	ENSG00000170485	ES	-0.308
chr4:143457680-143457769	GAB1	ENSG00000109458	ES	-0.262
chr16:15086365-15086454	RRN3	ENSG00000085721	ES	0.206
chr4:15684850-15684959	FAM200B	ENSG00000237765	ES	0.218
chr2:216520714-216520774	RPL37A	ENSG00000197756	ES	-0.251
chr2:241751246-241751388	D2HGDH	ENSG00000180902	ES	-0.335
chr2:241754631-241754746	D2HGDH	ENSG00000180902	ES	-0.37
chr17:8463320-8463354	NDEL1	ENSG00000166579	ES	-0.27
chr6:90544552-90544632	MAP3K7	ENSG00000135341	ES	0.366
chr2:178473029-178473142	FKBP7	ENSG00000079150	ES	0.437
chr4:185684754-185684846	SORBS2	ENSG00000154556	ES	0.562
chr7:22946952-22947247	HYCC1	ENSG00000122591	ES	-0.557
chr7:24863200-24863292	OSBPL3	ENSG00000070882	ES	0.382
chr3:51971812-51971892	ABHD14B	ENSG00000114779	ES	-0.533
chr11:3685973-3686194	NUP98	ENSG00000110713	ES	0.301
chr7:90303969-90304106	CFAP69	ENSG00000105792	ES	0.503
chr12:2865355-2865399	FOXM1	ENSG00000111206	ES	-0.493
chr7:102566582-102566736	POLR2J3	ENSG00000168255	ES	-0.381
chr7:105639487-105639569	ATXN7L1	ENSG00000146776	ES	0.585
chr7:116695750-116695799	MET	ENSG00000105976	ES	0.305
chrX:23734341-23734367	ACOT9	ENSG00000123130	ES	-0.208
chr7:158752781-158752843	ESYT2	ENSG00000117868	ES	0.339
chr11:85978070-85978093	PICALM	ENSG00000073921	ES	-0.416
chr8:17983233-17983289	PCM1	ENSG00000078674	ES	0.253
chr8:73030336-73030395	TERF1	ENSG00000147601	ES	0.238
chr8:85115100-85115275	LRRCC1	ENSG00000133739	ES	-0.226
chr8:89762829-89762982	RIPK2	ENSG00000104312	ES	-0.481
chr1:53272604-53272642	LRP8	ENSG00000157193	ES	-0.454
chr22:29970976-29971062	MTMR3	ENSG00000100330	ES	-0.404
chr8:127188045-127188115	CASC19	ENSG00000254166	ES	0.417
